This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    30501
Number of nonzeros in inequality constraint Jacobian.:     6600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    10484
                     variables with only lower bounds:     2419
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     8319
Total number of inequality constraints...............:     1892
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1892

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7830788e+02 1.50e+01 2.94e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.5304092e+03 1.43e+01 3.15e+01   0.1 5.98e+00    -  1.03e-02 4.44e-02f  1
   2  3.8425016e+03 1.30e+01 1.91e+02   0.4 5.46e+00    -  4.31e-01 9.48e-02f  1
   3  4.3990776e+04 1.20e+01 2.72e+02   1.7 3.11e+01    -  2.18e-02 7.49e-02f  1
   4  3.5747972e+04 9.67e+00 2.27e+02   0.5 4.95e+00    -  7.93e-02 1.93e-01f  1
   5  2.4408492e+04 8.06e+00 2.33e+02   0.5 6.98e+00    -  2.63e-01 1.67e-01f  1
   6  3.5418162e+04 1.99e+00 8.28e+02   1.1 2.92e+00    -  3.75e-01 7.53e-01f  1
   7  3.6046017e+04 1.94e+00 3.32e+02   0.5 1.24e+01    -  2.60e-01 9.07e-02h  3
   8  2.9971839e+04 1.26e+00 1.98e+02  -1.2 1.50e+00    -  6.69e-01 3.53e-01f  1
   9  2.0687333e+04 7.54e-01 1.18e+03   0.3 1.94e+00    -  1.00e+00 5.24e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.9685116e+04 1.08e+00 1.06e+03   0.5 1.52e+00    -  6.34e-01 7.87e-01h  1
  11  1.5556011e+04 5.25e-01 2.09e+03   0.3 4.99e-01    -  9.09e-01 9.90e-01f  1
  12  1.3033936e+04 2.34e-01 2.45e+05  -0.4 5.38e-01    -  1.00e+00 5.46e-01f  1
  13  1.5569286e+04 4.14e-01 2.53e+05   0.4 1.26e+00    -  4.51e-01 5.00e-01f  2
  14  1.1814951e+04 1.99e-01 1.53e+06   0.1 5.72e-01    -  1.00e+00 7.69e-01f  1
  15  1.0312037e+04 1.24e-01 6.00e+06  -0.3 6.15e-01    -  1.00e+00 3.09e-01f  1
  16  8.9530616e+03 3.16e-01 1.50e+07   0.2 1.63e+00    -  7.74e-01 4.18e-01f  1
  17  1.1371007e+04 5.32e-01 2.89e+05   0.0 1.13e+00    -  9.89e-01 1.00e+00H  1
  18  7.0924501e+03 3.71e-01 3.53e+06  -0.1 7.69e-01    -  4.96e-01 7.53e-01f  1
  19  6.9584262e+03 4.56e-01 3.52e+05  -0.1 3.61e-01    -  8.98e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  5.8207821e+03 2.74e-01 2.87e+07  -0.6 2.85e-01    -  1.00e+00 4.37e-01f  1
  21  4.5797144e+03 1.50e-01 1.58e+07  -0.7 6.43e-01    -  1.00e+00 5.54e-01f  1
  22  5.2499860e+03 1.82e-01 6.30e+06  -0.2 8.36e-01    -  4.74e-01 4.01e-01H  1
